"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"194","SIPA","Fellow","@hrgilman","on","Small","#Data:","#BigData","Isn't","King:","@HuffPostImpact","https://t.co/cuWu8Qdr27","","#tech","#ict4d",NA,NA,NA,NA,NA,NA
"195","Profs","@JeffDSachs","and","@JosephEStiglitz","share","similar","concerns","about","#TPP:","@NatCounterPunch","https://t.co/iG5AyIIQes","","#trade","#economy",NA,NA,NA,NA,NA,NA
"196","Prof","@StevenACohen","reflects","on","The","Small","Steps","That","Will","Lead","to","a","Low-Carbon","Economy","https://t.co/hEa7xuWA2K","#energy","#sustainability",NA,NA,NA
"197","We","need","to","think","about","how","to","accept","more","#SyrianRefugees—not","fewer,","writes","@taylordibbert","MIA","'11:","@HuffingtonPost","https://t.co/eZiGnHIsZb",NA,NA,NA
"198","ICYMI:","Do","#HillaryClinton's","comments","on","#gender","weaken","the","#feminist","cause?","@agrenell","MPA","'15","discusses","@NYDailyNews","https://t.co/AwC0mLzOBh",NA,NA,NA,NA
"199","Looking","through","the","lens","of","19th","cent","philosopher,","Michael","Doyle","analyzes","#conflict","intervention","in","#Syria","https://t.co/g0nXqP5vAO","#history",NA,NA,NA
"200","Prof","@KimberlyMarten","was","invited","to","discuss","#Russia’s","connection","to","the","fight","against","#ISIS","on","@thetakeaway,","listen:","https://t.co/HVX1lI1rNi",NA,NA,NA
"201","An","interview","by","the","@ColumbiaUEnergy","#podcast","w/","@EPA","Administrator","@GinaEPA,","was","covered","by","@TheHill:","https://t.co/WCBRLkhqv8","#energy",NA,NA,NA,NA
"202","Prof.","@Jason_Healey","writes,","Poisoning","the","#Internet","won't","stop","more","#ParisAttacks","https://t.co/ewSxZuI9O4","#cybersecurity","#privacy",NA,NA,NA,NA,NA,NA,NA
"203","Please","note,","the","SIPA","building","is","closed","until","Monday!","Students,","see","here","for","a","list","of","library","hours:","https://t.co/v7nIrGu8c5","@columbialib"
"204","Prof","@SSestanovich","reflects","on","why","US","might","sympathize","more","with","#ParisAttacks","than","other","#terrorist","attacks:","https://t.co/Vt9uBIcaUh",NA,NA,NA,NA
"205","2","problems","w/","isolationist","approach","to","#energy","independence,","misunderstands","today’s","realities,","says","@JasonBordoff:","https://t.co/Y1wVo6Ebgf",NA,NA,NA,NA,NA,NA
"206","Please","note,","SIPA","is","closed","today","and","tomorrow","for","Thanksgiving.","We","hope","everyone","celebrating","had","a","good","holiday","with","family"
"207","SIPA","gives","thanks","to","its","alumni","community!","Happy","Thanksgiving","to","all","of","our","alumni","who","are","celebrating!",NA,NA,NA
"208","Prof","@anyaSIPA,","@journojim,","&amp;","@KristenGrennan","MPA","'16","report","on","#media","#innovation","#startups","highlighted","on","@forbes:","https://t.co/GiwPph5FEp",NA,NA,NA,NA
"209","Happy","Thanksgiving","to","all","SIPA","alumni","who","will","be","celebrating!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",".","@anelsona","will","speak","about","Germans","Who","Stood","Up","to","Hitler","at","Connecticut's","@FairfieldU","(Dec.","1):","@CTJewishLedger","https://t.co/69L5nVrOjg",NA,NA
"211","For","Canada,","#TPP","leaves","imbalance","b/t","protection","of","investors","and","public","interest,","writes","Lisa","Sachs:","@globeandmail","https://t.co/DSdZFi0QYm",NA,NA,NA
"212","Stressed","about","writing","your","#gradschool","personal","statement?","Here's","what","NOT","to","do:","https://t.co/qs7hBrtEX9","#askSIPA","https://t.co/tzdG3dd9vj",NA,NA,NA,NA,NA
"213","[italiano]","On","women's","role","in","peace","processes","and","the","value","they","add;","Yasmine","Ergas","comments:","@Corriereit","https://t.co/p2ZJBDvVj7",NA,NA,NA
"214","Congrats","to","David","Dinkins,","who","will","be","honored","for","lifetime","achievement","at","@blackstarnews","annual","dinner","on","Dec.","4:","https://t.co/YRUariR2Rs",NA
"215","Heliana","Higbie","MIA","'10","is","the","new","director","of","sustainability","for","Yonkers,","N.Y.—congratulations!","@CityofYonkers","https://t.co/wuR1INvJO4",NA,NA,NA,NA,NA
"216","More","information","will","yield","fairer","tax","systems","in","Latin","America,","says","Juan","Pablo","Jiménez","MPA-EPM","’00:","@OpenRights_oD","https://t.co/DFFgjauPgX",NA,NA
"217","Women","judges","are","woefully","underrepresented","in","international","courts;","Yasmine","Ergas","comments:","@Womens_enews","https://t.co/52KqVXWqkg",NA,NA,NA,NA,NA,NA,NA
"218","For","new","Conversations","with","Diplomats","series,","@KimberlyMarten","interviews","@SSestanovich:","@HarrimanInst","(VIDEO)","https://t.co/YxwxDlxidX",NA,NA,NA,NA,NA,NA,NA,NA
"219","Jacqueline","Burns","Koven","MPA","'17","considers","steps","for","federal","gov't","to","better","recruit","prospective","employees:","@govexec","https://t.co/eBzo9veqi2",NA,NA,NA
"220","In","enforcing","environmental","treaties,","says","Scott","Barrett,","the","basic","problem","is","sovereignty:","@Marketplace","(w/audio)","https://t.co/YXwYl7CaQW",NA,NA,NA,NA,NA
"221","[español]","@JosephEStiglitz","says","Argentina's","reducing","inequality","&amp;","poverty","following","crisis","is","rare","feat:","@pagina_12","https://t.co/psMwfliFJl",NA,NA,NA,NA,NA
"222","MT","@ASCOA:","New","day","in","Argentina—Hear","M.V.","Murillo","of","SIPA,","@juancudiaz,","&amp;","M.","Roca","assess","#Macri","&amp;","election","(Dec.","7):"
"223","In","$100-trillion","world","economy,","$100-bn","to","counter","climate","change","is","affordable,","says","@JeffDSachs:","@thinkprogress","https://t.co/xPrn1GIvbH",NA,NA,NA,NA,NA
"224","ICYMI:","Is","#SriLanka’s","new","gov","sincere","about","deeper","reform?","@taylordibbert","MIA","'11","considers:","@Diplomat_APAC","https://t.co/0zfxbZs5OR",NA,NA,NA,NA,NA
"225","Economist","Carmen","Reinhart","cites","SIPA's","Guillermo","Calvo","on","sudden","stops:","@EpochTimes","https://t.co/c8V26VQpn8",NA,NA,NA,NA,NA,NA,NA,NA
"226","Sachs","outlines","the","#economic","crises","that","could","accompany","#ElNiño","weather","pattern","on","The","World","in","2:00","https://t.co/O7BFlXLUdT","#climate",NA,NA
