"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"18","Are","you","tuning","in?","We're","taking","your","questions:","1-844-WHARTON
https://t.co/S3Gd4MPQco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Listen","up!","@Inc","&amp;","@LollyDaskal's","top","podcasts","for","business","life,","including","@whartonknows:","https://t.co/Z8dUWdfHNn","https://t.co/DXFswseJSv",NA,NA,NA,NA,NA,NA
"20","Is","your","workplace","tough","or","toxic?","@WhartonKnows","how","to","tell,","and","how","to","deal:","https://t.co/1yiItUUqZS",NA,NA,NA,NA,NA
"21","Prof.","Peter","Cappelli","talks","with","@WNYC's","@MoneyTalking","on","how","to","succeed","with","a","kid","boss","(or","just","be","one):","https://t.co/ZhstDWvnzB"
"22",".@whartonknows","how","to","master","the","#mooc","with","their","new","#ebook.","Check","it","out:","https://t.co/w3nJzr1CYz","https://t.co/ZsIRDFZlzp",NA,NA,NA,NA,NA
"23","Predict","the","future:","How","to","improve","the","accuracy","of","forecasts,","according","to","prof.","Philip","Tetlock:","https://t.co/Twv6zFS2mY",NA,NA,NA,NA
"24","ICYMI,","prof.","@EricOrts","posted","on","@LinkedinPulse","about","the","#COP21","agreement","and","what","it","means","for","business:","https://t.co/sy6lZ4Ud4l",NA,NA,NA
"25",".@whartonknows","the","grass","is","not","greener,","and","when","staying","put","in","a","job","pays","off:","https://t.co/RNLnBCNTqb",NA,NA,NA,NA
"26","Miss","our","recent","student","@VetTechTrek?","Check","out","the","recording","on","@blab:","https://t.co/b1MGQOV93m","#VetTechTrek",NA,NA,NA,NA,NA,NA,NA
"27","Learn","what","resources","are","available","to","@WhartonAlumni","to","achieve","their","short","and","long-term","#career","goals.","https://t.co/mVMlVDbKYe",NA,NA,NA,NA
"28","Prof.","@EricOrts'","new","@LinkedinPulse","post","on","the","#COP21","#climate","agreement","and","what","it","means","for","business:","https://t.co/sy6lZ4Ud4l",NA,NA,NA
"29","What","Starbucks'","#redcup","controversy","tells","us","about","retail,","religion,","&amp;","customer","experience:","https://t.co/kwILgJqzzu","https://t.co/5uu3VR4pFG",NA,NA,NA,NA,NA,NA
"30","It’s","about","making...better","lives","for","all","of","us,","not","just","for","individual","women","–Lisa","Hall","#W87:","https://t.co/YxSXdCUt0n","#socialimpact",NA,NA
"31","NOMsense","Bakery,","a","start-up","co-led","by","Roopa","Shankar","#W16,","celebrates","the","#holiday","by","giving","and","innovating:","https://t.co/kMjWOtyooJ",NA,NA,NA
"32","Tune","in!","We're","taking","your","questions:","1-844-WHARTON
https://t.co/rVBE4eYGRw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Prof.","@EricOrts","discussed","the","#Climate","Agreement","in","Paris","on","@BizRadio111.","Listen","to","it","again","tonight","at","10","pm","EST.","https://t.co/jak5Ka6W4i"
"34","These","three","@whartondigital","#ebooks","are","available","for","only","99¢","each","through","1/15/16:","https://t.co/2au8gPIJaV","#StockingStuffers",NA,NA,NA,NA,NA,NA
"35","Dean","@garrett_geoff","made","@LinkedIn's","best","writers","list","for","2015.","See","the","full","list","here:","https://t.co/ClVimkXLIU",NA,NA,NA,NA,NA
"36","@drubeli","You'll","have","to","let","us","know!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","With","#AppleTV","+","@Coursera","we’re","extending","our","#MOOC","availability","to","the","home:","https://t.co/29u015VvU4","#EdTech","https://t.co/mtFL8AvoHX",NA,NA,NA,NA,NA
"38","What","is","a","good","New","Year's","resolution","to","make?","Prof.","@katy_milkman","talks","with","@QOD","on","the","subject:","https://t.co/5V3et7000G",NA,NA
"39","Need","career","advice?","Call","Career","Talk","at","1-844-WHARTON","every","Monday","at","1pm","ET","on","@BizRadio111:","https://t.co/zwoeGBEGWH",NA,NA,NA,NA
"40","Prof.","@NRothbard","talked","with","@whyy","on","dealing","with","distractions","and","productivity","at","#work:","https://t.co/lDHTTHrD6e",NA,NA,NA,NA,NA,NA
"41","Hey","@WhartonAlumni,","learn","to","harness","the","alumni","network","the","21st","century","way:","https://t.co/QOmHtdvwEV",NA,NA,NA,NA,NA,NA,NA
"42","Prof.","@AdamMGrant","on","you","can","get","ahead","at","#work","while","being","nice:","https://t.co/3llM2rjunm","via","@businessinsider",NA,NA,NA,NA,NA
"43","On","10/23","the","world-wide","@Penn","community","shared","their","day","on","#Instagram:","https://t.co/XpWlixAzyx","#PennDayInLife","https://t.co/QC1ecRfAuk",NA,NA,NA,NA,NA,NA
"44","Is","#FantasyFootball","skill","or","luck?","That’s","the","legal","question","for","#DFS","leagues","like","FanDuel","&amp;","DraftKings:","https://t.co/UqtxxSl21O",NA,NA,NA
"45","See","what","Tiffany","Chang","#W19","learned","on","her","YouthHack","#Philly","#Startup","tour:","https://t.co/uEPO4g6PBs",NA,NA,NA,NA,NA,NA,NA
"46","With","#football","protests","in","Australia,","our","Dean","@garrett_geoff","shares","his","thoughts","on","the","economics","of","the","sport:","https://t.co/YrMbXww0kz",NA,NA
"47","Switchback:","The","#startup","strategy","that","might","be","right","for","you:","https://t.co/vF5KjCAofH","via","@BNDarticles",NA,NA,NA,NA,NA,NA,NA
"48","#WG12","@rvfrankel","asks,","How","do","businesses","select","a","company","name?","https://t.co/q7Kpr6W5Cc","via","@Forbes",NA,NA,NA,NA,NA,NA,NA
"49","We're","proud","to","be","part","of","#AppleTV's","first","foray","into","online","learning","w/","partner","@Coursera:","https://t.co/29u015VvU4","#MOOC","#EdTech",NA,NA
"50","Cyclical","factors","causing","#millennials","to","delay","buying","homes","will","wear","off,","but","they","take","time","to","wear","off:","https://t.co/14QuCm9gdo",NA
"51","Hey","@WhartonAlumni,","learn","to","harness","the","alumni","network","the","21st","century","way:","https://t.co/QOmHtdvwEV",NA,NA,NA,NA,NA,NA,NA
"52","Dean","@garrett_geoff","made","@LinkedIn's","best","writers","list","for","2015.","Are","you","following","him?","https://t.co/ClVimkXLIU",NA,NA,NA,NA,NA,NA
"53",".@Sphero's","Adam","Wilson","on","what","#BB8","brought","to","their","tech:","We","were","missing","character,","something","like","personality.","https://t.co/NULxyjuqqy",NA,NA
"54","Find","a","job","where","there","is","room","to","grow","inside","the","organization...That","seems","like","a","smarter","career","strategy.","https://t.co/u29tRQI2q0",NA
"55",".@whartonmagazine","has","a","Watch","List","of","books","written","by","our","alumni:","https://t.co/uxuDUz8KRM","#WhartonGrad",NA,NA,NA,NA,NA,NA,NA
"56",".@pfizer","Allergen","merger:","The","blockbuster","model","can't","be","the","centerpiece","of","big","#pharma's","strategy","going","forward.","https://t.co/Z51xhnQBPy",NA,NA,NA
"57","Happy","Friday!","Are","you","following","Wharton's","world-class","faculty?","Here's","the","list:","https://t.co/WYECFwa7kw","#FollowFriday","#FF",NA,NA,NA,NA,NA,NA
"58","#ClimateChange:","The","challenge","and","opportunity","for","#business,","according","to","dean","@garrett_geoff:","https://t.co/sCiukcXmrs","via","@LinkedInPulse",NA,NA,NA,NA,NA,NA
"59","With","#AppleTV","+","@Coursera","we’re","extending","our","#MOOC","availability","to","the","home:","https://t.co/29u015VvU4","#EdTech","https://t.co/CfHInKTVbn",NA,NA,NA,NA,NA
"60","Is","your","workplace","tough","or","toxic?","@WhartonKnows","how","to","tell,","and","how","to","deal:","https://t.co/1yiItUUqZS",NA,NA,NA,NA,NA
"61",".@WarbyParker","co-founders","&amp;","alums","are","coming","full","circle.","Congrats","on","the","announcement","on","your","#Philly","store:","https://t.co/4BwYQMRIwa",NA,NA,NA
"62","With","#football","protests","in","Australia,","our","Dean","@garrett_geoff","shares","his","thoughts","on","the","economics","of","the","sport:","https://t.co/YrMbXww0kz",NA,NA
"63","Check","out","our","new","#PublicPolicy","brief","on","the","potential","effect","of","offering","lump","sums","for","@SocialSecurity:","https://t.co/2zvn9NspG5",NA,NA,NA
"64","What","Starbucks'","#redcup","controversy","tells","us","about","retail,","religion,","&amp;","customer","experience:","https://t.co/kwILgJ8YHW","https://t.co/IJltpRsj3E",NA,NA,NA,NA,NA,NA
"65","Have","you","gotten","your","copy","yet?","Don't","wait!","
https://t.co/3cKWWIecSY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","#ClimateChange:","The","challenge","and","opportunity","for","#business,","according","to","dean","@garrett_geoff:","https://t.co/sCiukdeXQ2","via","@LinkedInPulse",NA,NA,NA,NA,NA,NA
"67","Is","#FantasyFootball","skill","or","luck?","That’s","the","legal","question","for","#DFS","leagues","like","FanDuel","&amp;","DraftKings:","https://t.co/UqtxxSCDqo","#TNF",NA,NA
"68","Prof.","@j1berger","explains","why","cool","is","cool:","https://t.co/izsB61uAqM","via","@nytimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","What","happens","when","aspiring","@Penn","student","#entrepreneurs","visit","#WhartonGrad","#startups?","https://t.co/tQ2cxJF1V8","https://t.co/mdOQfPGw1J",NA,NA,NA,NA,NA,NA,NA,NA
"70","Skill","or","luck?","That’s","the","question","for","@FanDuel","and","@DraftKings:","https://t.co/UqtxxSl21O","via","@whartonknows","#fantasyfootball",NA,NA,NA,NA,NA,NA
"71","On","10/23","the","world-wide","@Penn","community","shared","their","day","on","#Instagram:","https://t.co/XpWlixAzyx","#PennDayInLife","https://t.co/BIQ4b7Mlc9",NA,NA,NA,NA,NA,NA
"72",".@VetTechTrek","Live","is","happening","this","afternoon","across","3","cities.","Stay","in","the","loop","by","following","#VetTechTrek:","https://t.co/xPjQhTV5Mi",NA,NA,NA
"73","Dean","@garrett_geoff","made","@LinkedIn's","best","writers","list","for","2015.","Are","you","following","him?","https://t.co/ClVimkXLIU",NA,NA,NA,NA,NA,NA
"74","How","profit","powers","a","plan","to","provide","clean","water","to","the","poor:","https://t.co/HnHPnoH0oU","via","@whartonknows","#socialimpact","#centralamerica",NA,NA,NA
"75","@theolynn","@QS_pressoffice","@ReimagineHEdu","Don't","be","a","stranger!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","@TamaraPaton","@StewFriedman","We","are","so","glad","you","enjoyed","it!","@WhartonAlumni","#WhartonGrad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","#WG16","@alphafishing","reflects","on","the","@WhartonCAI","Business","#Analytics","Career","Expo","Panel:","https://t.co/Z406Dmsjq7","https://t.co/ZWT7r5keSM",NA,NA,NA,NA,NA,NA,NA
"78","#WEMBA","students","gain","new","perspectives","on","#entrepreneurship","in","#Israel:","https://t.co/Ugs87hIywj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","What","distinguishes","growth","laggards","from","leaders?","Read","George","Day’s","#InnovationProwess","from","@WhartonDigital:","https://t.co/vfZWR3oZG5",NA,NA,NA,NA,NA,NA,NA
"80","Mmm...can't","wait","to","get","these","treats","made","by","some","of","our","Wharton","students!","
https://t.co/QoqZe27vhU",NA,NA,NA,NA,NA,NA
"81",".@whartonknows","how","to","master","the","#mooc","with","their","new","#ebook.","Check","it","out:","https://t.co/w3nJzr1CYz","https://t.co/l1lmyLGKxu",NA,NA,NA,NA,NA
"82","Have","you","read","@whartonmagazine's","profile","on","some","of","our","current","students","making","waves?","https://t.co/aCdLs4pjiT","https://t.co/7SXpVTa2e1",NA,NA,NA,NA,NA
"83","With","#football","protests","in","Australia,","our","Dean","@garrett_geoff","shares","his","thoughts","on","the","economics","of","the","sport:","https://t.co/YrMbXww0kz",NA,NA
"84","Learn","what","resources","are","available","to","@WhartonAlumni","to","achieve","their","short-","and","long-term","#career","goals.","https://t.co/mVMlVDbKYe",NA,NA,NA,NA
"85","Through","1/15/16,","3","@whartondigital","","#ebooks","are","available","for","only","99¢","each.","Learn","more","here:","https://t.co/2au8gPIJaV",NA,NA,NA,NA
"86","Shed","pounds","and","build","work","relationships","through","sweatworking,","not","networking:","https://t.co/alaHrKsiZU","https://t.co/DdMXdPpd1x",NA,NA,NA,NA,NA,NA,NA,NA
"87","Have","you","checked","out","any","of","these","books?","
https://t.co/KmgZdVyqWl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","With","#AppleTV","+","@Coursera","we’re","extending","our","#MOOC","availability","to","the","home:","https://t.co/29u015VvU4","#EdTech","https://t.co/HDe7Zu2zLb",NA,NA,NA,NA,NA
"89","Predict","the","future:","How","to","improve","the","accuracy","of","forecasts,","according","to","prof.","Philip","Tetlock:","https://t.co/Twv6zFS2mY",NA,NA,NA,NA
"90",".@whartonknows","the","grass","is","not","greener:","when","staying","put","in","a","job","pays","off:","https://t.co/RNLnBCNTqb",NA,NA,NA,NA,NA
"91",".@WarbyParker","co-founders","&amp;","alums","are","coming","full","circle.","Congrats","on","the","announcement","on","your","#Philly","store:","https://t.co/4BwYQMRIwa",NA,NA,NA
"92","Is","your","workplace","tough","or","toxic?","@WhartonKnows","how","to","tell,","and","how","to","deal:","https://t.co/1yiItUUqZS",NA,NA,NA,NA,NA
"93","Hey","#WhartonGrad,","join","our","12/9","@WhartonAlumni","webinar:","Leading","the","Life","You","Want","w/","prof.","@StewFriedman:","https://t.co/yW8dknQxi8",NA,NA,NA,NA
"94","Prof.","@AdamMGrant","on","you","can","get","ahead","at","#work","while","being","nice:","https://t.co/3llM2rjunm","via","@businessinsider",NA,NA,NA,NA,NA
"95","Need","career","advice?","Call","Career","Talk","at","1-844-WHARTON","every","Monday","at","1pm","ET","on","@BizRadio111:","https://t.co/zwoeGBEGWH",NA,NA,NA,NA
"96","On","10/23","the","world-wide","@Penn","community","shared","their","day","on","#Instagram:","https://t.co/XpWlixAzyx","#PennDayInLife","https://t.co/8iMF9X4PXA",NA,NA,NA,NA,NA,NA
"97","See","what","Tiffany","Chang","#W19","learned","on","her","YouthHack","#Philly","#Startup","tour:","https://t.co/uEPO4g6PBs",NA,NA,NA,NA,NA,NA,NA
"98","The","new","issue","of","the","@whartonmagazine","is","out!","Read","it","here:","https://t.co/hgdDaxARHv",NA,NA,NA,NA,NA,NA,NA,NA
"99",".@RussLaraway","#WG05","sat","down","for","dinner","w/","our","#MBA's","and","an","interview","on","@DigitalShow111:","https://t.co/Fra6IlMuZK","https://t.co/FWSfpaNKSu",NA,NA,NA,NA
"100","Switchback:","The","#startup","strategy","that","might","be","right","for","you:","https://t.co/vF5KjCiMR7","via","@BNDarticles",NA,NA,NA,NA,NA,NA,NA
"101","Why","it","doesn’t","take","a","#nonprofit","career","to","make","a","difference","at","work:","https://t.co/0D8v9SfXRa","via","@FastCompany",NA,NA,NA,NA
"102","The","Economics","of","#Football","(both","pointed","and","round):","https://t.co/YrMbXww0kz","by","Dean","@garrett_geoff","#SNF","#NFL","https://t.co/XBdwTcWqj2",NA,NA,NA,NA,NA
"103",".@whartonknows","why","#LatinAmerica","is","the","next","big","#mobile","battleground:","https://t.co/4yDomV11dn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Is","#FantasyFootball","skill","or","luck?","That’s","the","legal","question","for","#DFS","leagues","like","FanDuel","&amp;","DraftKings:","https://t.co/UqtxxSl21O",NA,NA,NA
"105","It’s","about","making","a","bigger","pie","and","better","lives","for","all","of","us,","not","just","for","individual","women.","https://t.co/YxSXdCUt0n","#socialimpact"
"106","We're","proud","to","be","part","of","#AppleTV's","first","foray","into","online","learning","w/","partner","@Coursera:","https://t.co/29u015VvU4","#MOOC","#EdTech",NA,NA
"107","Another","#Philadelphia","first!","We're","proud","to","be","part","of","a","World","Heritage","City:","https://t.co/mBk4J9Bsaw",NA,NA,NA,NA,NA,NA
"108","'Tis","the","season","for","outrage?","Prof.","@j1berger","thinks","so","when","it","comes","to","the","#Starbucks","#RedCup","controversy:","https://t.co/c0xfwGmSQh",NA,NA
"109","The","new","issue","of","the","@whartonmagazine","is","out!","Read","it","here:","https://t.co/hgdDaxARHv",NA,NA,NA,NA,NA,NA,NA,NA
"110","What","Starbucks'","#redcup","controversy","tells","us","about","retail,","religion,","&amp;","customer","experience:","https://t.co/kwILgJqzzu","https://t.co/I0I3Z8KV5i",NA,NA,NA,NA,NA,NA
"111","With","#AppleTV","+","@Coursera","we’re","extending","our","#MOOC","availability","to","the","home:","https://t.co/29u015VvU4","#EdTech","https://t.co/M5b4OzKOqJ",NA,NA,NA,NA,NA
"112","So","you","want","to","be","a","product","manager?","Karthik","Sridharan","#W07,","CEO","of","@Kinnek,","says","to","keep","this","in","mind:"
"113","#EMBA","student","Andew","Ritter","on","juggling","school,","a","#startup,","and","an","IPO:","https://t.co/dhBJLlNv1g","#WhartonSF",NA,NA,NA,NA,NA,NA
"114","Research","by","profs","@katy_milkman","&amp;","@j1berger","reveals","the","anatomy","of","a","#Twitterstorm:","https://t.co/We9pvyaHFC",NA,NA,NA,NA,NA,NA,NA
"115","Have","you","heard","about","the","@WhiteHouse","Act","on","Climate","Pledge","that","@Penn","signed","last","week?","https://t.co/VC9slEC9VE",NA,NA,NA,NA
"116","Happy","Friday!","Are","you","following","Wharton's","world-class","faculty?","Here's","the","list:","https://t.co/WYECFwa7kw","#FollowFriday","#FF",NA,NA,NA,NA,NA,NA
"117","We're","proud","to","be","leading","the","way","with","an","increasing","number","of","women","in","our","#MBA","program:","https://t.co/DAYFQQEqPy","via","@businessbecause"
"118","#WG16","@alphafishing","reflects","on","the","@WhartonCAI","Business","#Analytics","Career","Expo","Panel:","https://t.co/Z406Dmsjq7","https://t.co/A2KigAk3xX",NA,NA,NA,NA,NA,NA,NA
"119",".@Sphero's","Adam","Wilson","on","what","#BB8","brought","to","their","tech:","We","were","missing","character,","something","like","personality.","https://t.co/NULxyjuqqy",NA,NA
"120","Congrats","to","prof.","@StewFriedman","on","winning","the","@thinkers50","2015","Talent","Award:","https://t.co/e0DXDWnPVA",NA,NA,NA,NA,NA,NA,NA,NA
"121","#WG12","@rvfrankel","asks,","How","do","businesses","select","a","company","name?","https://t.co/q7Kpr6W5Cc","via","@Forbes",NA,NA,NA,NA,NA,NA,NA
"122","On","10/23","the","world-wide","@Penn","community","shared","their","day","on","#Instagram:","https://t.co/XpWlixAzyx","#PennDayInLife","https://t.co/Rt9jnKziTk",NA,NA,NA,NA,NA,NA
"123","@RyanBreeland","Thanks","so","much","for","your","feedback.","We","will","pass","it","forward","to","@BizRadio111.","We","hope","you'll","continue","to","tune"
"124","Cyclical","factors","causing","#millennials","to","delay","buying","homes","will","wear","off,","but","they","take","time","to","wear","off:","https://t.co/14QuCm9gdo",NA
"125","What","happens","when","aspiring","@Penn","student","#entrepreneurs","visit","#WhartonGrad","#startups?","https://t.co/tQ2cxJnqwy","https://t.co/hzIAH7Pizj",NA,NA,NA,NA,NA,NA,NA,NA
"126","Hey","@WhartonAlumni,","learn","to","harness","the","alumni","network","the","21st","century","way:","https://t.co/QOmHtdvwEV",NA,NA,NA,NA,NA,NA,NA
"127","Have","you","gotten","your","copy","of","Conversations","on","Success","yet?
https://t.co/0GU4JzZOkW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Now","is","probably","a","good","time","for","American","business","to","look","more","seriously","at","Africa.","–Dean","@garrett_geoff","https://t.co/N2zv8Hzmx1",NA,NA
"129","Is","#FantasyFootball","skill","or","luck?","That’s","the","legal","question","for","#DFS","leagues","like","FanDuel","&amp;","DraftKings:","https://t.co/UqtxxSl21O","#TNF",NA,NA
"130","#EMBA","students","“broaden","horizons”","on","#SouthAfrica","class","trip.","See","what","they","learned:","https://t.co/Cs5umK9DrK",NA,NA,NA,NA,NA,NA,NA
"131","Prof.","Peter","Cappelli","talks","with","@WNYC's","Money","Talking","on","how","to","succeed","with","a","kid","boss","(or","just","be","one):"
"132","Check","out","our","new","#PublicPolicy","brief","on","the","potential","effect","of","offering","lump","sums","for","@SocialSecurity:","https://t.co/2zvn9NK0xD",NA,NA,NA
"133","We're","proud","to","be","part","of","#AppleTV's","first","foray","into","online","learning","w/","partner","@Coursera:","https://t.co/29u015VvU4","#MOOC","#EdTech",NA,NA
"134","Is","your","workplace","tough","or","toxic?","@WhartonKnows","how","to","tell,","and","how","to","deal:","https://t.co/1yiItUUqZS",NA,NA,NA,NA,NA
"135","Dean","@garrett_geoff","has","a","new","@LinkedInPulse","article","about","his","trip","to","#India:","https://t.co/4au5dF2LI1",NA,NA,NA,NA,NA,NA,NA
"136",".@pfier","-","Allergen","merger:","The","blockbuster","model","can't","be","the","centerpiece","of","big","#pharma's","strategy","going","forward.","https://t.co/Z51xhnQBPy",NA,NA
"137",".@whartonmagazine","has","a","Watch","List","of","books","written","by","our","alumni:","https://t.co/uxuDUz8KRM","#WhartonGrad",NA,NA,NA,NA,NA,NA,NA
"138","Find","a","job","where","there","is","room","to","grow","inside","the","organization...That","seems","like","a","smarter","career","strategy.","https://t.co/u29tRQI2q0",NA
"139","Prof.","@j1berger","explains","why","cool","is","cool:","https://t.co/izsB61Mbik","via","@nytimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","How","profit","powers","a","plan","to","provide","clean","water","to","the","poor:","https://t.co/HnHPnoH0oU","via","@whartonknows","#socialimpact","#centralamerica",NA,NA,NA
"141","Can","#tech","restore","trust","in","voting?","We","asked","Gregory","Miller","of","@TrustTheVote:","https://t.co/pgi5LREGO6","https://t.co/RwU82W11zP",NA,NA,NA,NA,NA,NA
"142","Listen","and","call","in:","1-844-WHARTON!
https://t.co/efehaebLqF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Dean","@garrett_geoff","on","the","economics","of","#football","(both","pointed","and","round!)","https://t.co/YrMbXwept1","https://t.co/eTWKgu06Ec",NA,NA,NA,NA,NA,NA,NA
"144","Durreen","Shahnaz","(@durreen)","#WG95","on","the","convergence","of","business","and","peace-building:","https://t.co/OS6WHH2oqd","#ImpInv","https://t.co/FtTkws4bmI",NA,NA,NA,NA,NA,NA
"145","Shed","pounds","and","build","work","relationships","through","sweatworking,","not","networking:","https://t.co/alaHrKsiZU","https://t.co/vhfVubRniT",NA,NA,NA,NA,NA,NA,NA,NA
"146","Hey","#WhartonGrad,","join","our","12/9","@WhartonAlumni","webinar:","Leading","the","Life","You","Want","w/","prof.","@StewFriedman:","https://t.co/yW8dknyWqA",NA,NA,NA,NA
"147","#WEMBA","students","gain","new","perspectives","on","#entrepreneurship","in","#Israel:","https://t.co/Ugs87hIywj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Now","on","@LinkedInPulse:","The","Economics","of","#Football","(both","pointed","and","round):","https://t.co/YrMbXww0kz","by","Dean","@garrett_geoff",NA,NA,NA,NA,NA
"149","What","Starbucks'","#redcup","controversy","tells","us","about","retail,","religion,","&amp;","customer","experience:","https://t.co/kwILgJqzzu","https://t.co/jNU7ujpXfn",NA,NA,NA,NA,NA,NA
"150","With","#AppleTV","+","@Coursera","we’re","extending","our","#MOOC","availability","to","the","home:","https://t.co/29u015VvU4","#EdTech","https://t.co/iOufaYIXcw",NA,NA,NA,NA,NA
"151","What","distinguishes","growth","laggards","from","leaders?","Read","George","Day’s","#InnovationProwess","from","@WhartonDigital:","https://t.co/vfZWR3oZG5",NA,NA,NA,NA,NA,NA,NA
"152","Skill","or","luck?","That’s","the","question","for","@FanDuel","and","@DraftKings:","https://t.co/UqtxxSl21O","via","@whartonknows","#fantasyfootball",NA,NA,NA,NA,NA,NA
"153","Are","American","department","stores","losing","their","way?","Prof.","@barbarakahn","weighs","in:","https://t.co/cTKlLDlR3i","via","@bizjournals",NA,NA,NA,NA,NA,NA
"154","See","what","Tiffany","Chang","#W19","learned","on","her","YouthHack","#Philly","#Startup","tour:","https://t.co/uEPO4g6PBs",NA,NA,NA,NA,NA,NA,NA
"155","Want","to","stay","on","top","of","#socialimpact","news?","Make","sure","to","sign","up","for","our","newsletter.","
https://t.co/F50QmK5wGw",NA,NA,NA
"156",".@whartonknows","that","all","inequality","is","not","created","equal,","especially","with","#microfinance","and","gender:","https://t.co/ssQdRgDCsz",NA,NA,NA,NA,NA,NA
"157","Switchback:","The","#startup","strategy","that","might","be","right","for","you:","https://t.co/vF5KjCiMR7","via","@BNDarticles",NA,NA,NA,NA,NA,NA,NA
"158","Another","#Philadelphia","first!","We're","proud","to","be","part","of","a","World","Heritage","City:","https://t.co/mBk4J9Bsaw",NA,NA,NA,NA,NA,NA
"159","Have","you","heard","about","the","@WhiteHouse","Act","on","Climate","Pledge","that","@Penn","signed","last","week?","https://t.co/VC9slEC9VE",NA,NA,NA,NA
