"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","Will","the","Chan","Zuckerberg","initiative","hange","#philanthropy?","https://t.co/9ubXYCfHwq","via","@whartonknows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Congrats","to","@whartonknows","for","making","@Inc's","Top","100","#podcast","list","for","business","and","life:","https://t.co/Z8dUWdxiEV",NA,NA,NA,NA,NA
"3","On","10/23","the","world-wide","@Penn","community","shared","their","day","on","#Instagram:","https://t.co/XpWlixAzyx","#PennDayInLife","https://t.co/xPV0odyBs0",NA,NA,NA,NA,NA,NA
"4","Dean","@garrett_geoff","made","@LinkedIn's","best","writers","list","for","2015.","See","the","full","list","here:","https://t.co/ClVimkXLIU",NA,NA,NA,NA,NA
"5","Charitable","giving:","what","to","know","before","donating","this","holiday","season:","https://t.co/oAxR10IFjB","https://t.co/82E87uRCLc",NA,NA,NA,NA,NA,NA,NA,NA
"6",".@WhartonSchoolPR","is","LIVE","on","#Periscope","with","@PeterContiBrown","talking","about","today's","#FedDecision.","Tune","in!","https://t.co/uLtt9ep54n",NA,NA,NA,NA,NA,NA
"7","Set","your","calendar","reminder,","and","follow","@WhartonSchoolPR","at","3pm!","#Fed","#FedDecision","#FederalReserve","https://t.co/8c3awSF9UA",NA,NA,NA,NA,NA,NA,NA
"8","After","the","#Fed","raises","#rates","today,","prof.","@PeterContiBrown","will","go","live","on","#Periscope","at","3pm","ET","to","discuss","it.","Join"
"9","See","what","happens","when","aspiring","@Penn","#entrepreneurs","visit","#WhartonGrad","#startups:","https://t.co/tQ2cxJnqwy","https://t.co/jXUTvyJgGH",NA,NA,NA,NA,NA,NA,NA,NA
"10","Prof.","@PeterContiBrown","#Periscope","at","3pm","ET","on","#Fed","rate","hike.","Take","a","look","back","at","their","zero-interest-rate","policy:","https://t.co/fzfdGuW5Y2",NA
"11","#BabyBust:","New","Choices","for","Men","&amp;","Women","in","Work","&amp;","Family,","by","@StewFriedman","is","99¢","until","1/15:","https://t.co/2au8gPIJaV","https://t.co/kwMJOCzQZY",NA
"12","Social","impact","investments,","how","to","measure","success:","https://t.co/ehEA0vRfxf","via","@whartonknows","#impinv","#socent","https://t.co/lk0PnJRblU",NA,NA,NA,NA,NA,NA,NA
"13","Explore","the","special","relationship","between","the","Wharton","School","and","the","@WorldBank.","Read","3","stories","now:","https://t.co/0sJL1PMqk7",NA,NA,NA,NA
"14",".@Sphero's","Adam","Wilson","on","what","#BB8","brought","to","their","tech:","We","were","missing","character,","something","like","personality.","https://t.co/NULxyjuqqy",NA,NA
"15","#WG16","@alphafishing","reflects","on","the","@WhartonCAI","Business","#Analytics","Career","Expo","Panel:","https://t.co/Z406Dmsjq7","https://t.co/4Cmy8YU359",NA,NA,NA,NA,NA,NA,NA
"16","Why","are","there","more","male","#entrepreneurs","than","female","ones?","Prof.","@emollick","weighs","in:","https://t.co/L3QUHhsFBl","via","@whartonknows",NA,NA,NA,NA
"17","We're","proud","to","be","part","of","#AppleTV's","first","foray","into","online","learning","w/","partner","@Coursera:","https://t.co/29u016d7iE","#MOOC","#EdTech",NA,NA
