"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","Great","start","to","#DardenSFTrek!","","https://t.co/XfrKFykIUi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Learn","how","Darden","Career","Counselor","Jim","Collins","helps","#GEMBA","and","#EMBA","students","find","their","dream","jobs:","https://t.co/GENVDYxztd",NA,NA,NA
"3","We","celebrated","#Diwali","at","Darden!","Anupam","Singh","(MBA","'16)","shared","his","experience:","https://t.co/MxOVjshEf0","#DardenGlobal","https://t.co/GCQMEklzsW",NA,NA,NA,NA,NA
"4","@eBayIncCareers","we're","excited","to","be","there!","#DardenSFTrek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Tis","the","season—#DardenMBA","acceptance","packages","are","officially","starting","to","go","out!","Congrats","to","our","accepted","students!","https://t.co/EetnhXEa2D",NA,NA,NA
"6","Why","should","business","leaders","read?","Former","Dean","@Bob_Bruner","makes","the","case","&amp;","shares","his","recommended","books","for","2015:","https://t.co/6n6SzrsJIG",NA
"7","Private","Equity's","Paper","Tigers—Prof.","Robert","Harris'","work","on","private","vs.","public","#equity","featured","in","@FortuneMagazine:","https://t.co/ocWK1WgvC4",NA,NA,NA,NA
"8","6","Critical","Factors","to","a","Global","#Career,","from","@Walmart","Asia","CEO","Scott","Price","(MBA","'90):","https://t.co/n2gZvC9dtb","#DardenIdeas",NA,NA,NA
"9","Dean","Scott","Beardsley","&amp;","@ADT","CEO","Naren","Gursahaney","talk","disruptive","#tech","in","#CSuiteInsights:","https://t.co/ZgFCyL9G5A","https://t.co/H2jYebOvt6",NA,NA,NA,NA,NA
"10","Darden","#MBA","ranked","the","#11","best","#bschool","in","the","world","by","@businessinsider,","noted","for","our","#entrepreneurship","programs:","https://t.co/1XFfvLjsk7",NA,NA
"11","So","many","great","stories,","so","little","time!","Read","Darden's","weekly","news","roundup","on","the","#MBA","admissions","blog:","https://t.co/VVsPbe1Zzj",NA,NA
"12","When","you","have","20","minutes","to","kill...turn","everything","off","and","just","observe.","#Innovation","tips","from","George","Barbee:","https://t.co/z7HZhgFWne","#UVA",NA
"13","You","receive","support","from","every","corner.","@PoetsAndQuants","names","#DardenMBA","a","top","#bschool","for","teaching","excellence:","https://t.co/s15PPwKUhP",NA,NA,NA,NA
"14","What","does","the","transition","into","#agriculture","mean","for","#investing?","@TC_Talks","CEO","Roger","Ferguson","talks","at","#uvainvest15:","https://t.co/PtobODHG8j",NA,NA,NA
"15","Brookings","Institute's","Kara","Mullins","announced","as","new","Executive","Director","of","Advancement","at","Darden:","https://t.co/czaMAOb7Ca","","#UVA","#DC",NA,NA,NA
"16","From","Most","Satisfied","#MBA","Graduates","to","#MOOCS,","read","the","top","5","news","stories","from","Darden","last","week:","https://t.co/pKooqMwu8M",NA,NA
"17","Businesses","will","either","learn","or","die.","Period.","Prof.","@HessEdward","on","how","to","create","an","evolving","#biz","in","@Inc:","https://t.co/x9cldRVufi",NA
"18","What's","the","best","advice","alumnus","Ned","Hooper","(MBA","'94)","ever","received?","20","questions:","https://t.co/DtAlkBJWcA","","#DardenMBA","https://t.co/5mKaOrQd3X",NA,NA,NA
"19","Prof.","Ed","Hess","explains","why","#bschools","need","to","learn","from","@Google,","@Pixar","in","@FortuneMagazine:","https://t.co/o8FFSQ6Q8O","https://t.co/RMuqaAK9dx",NA,NA,NA,NA
