"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","Three","alumni","share","how","they","navigate","the","business","of","funding","projects","in","alternative","and","conventional","energy","markets","https://t.co/x6iK4QXXbI",NA,NA
"2","Patrick","Doyle,","'88,","shares","the","advantages","of","a","marketing","mindset","in","the","C-Suite","and","more","during","his","latest","visit","https://t.co/0YSzLWIarW"
"3","Professor","Steve","Kaplan","on","why","Silicon","Valley","will","never","guarantee","success","https://t.co/2EuFmfcFA2","","via","@FortuneMagazine",NA,NA,NA,NA,NA
"4",".@BoothCapIdeas","explores","what","economists","think","about","quarterly","earnings","reports","https://t.co/d26SLEyU7h",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","How","exposed","is","the","U.S.","to","troubles","in","emerging","markets?","To","find","out,","join","us","for","#BoothEO16","https://t.co/3TD7p3fEKP","https://t.co/X9wfnFRfDQ",NA
"6","Professor","Nicholas","Epley","interview:","Dads","split","the","housework","evenly","—","or","so","they","think","https://t.co/vbSjqdCYv3","via","@todayshow",NA,NA,NA
"7","Randall","Kroszner","shares","how","he","expects","the","US","central","bank","to","implement","its","exit","strategy","from","zero","interest","rates.","https://t.co/QHrsZ3F9q2"
"8","Rate","hike...","good","or","bad","for","the","#economy?","Professor","and","#BoothEO16","presenter","@Austan_Goolsbee","weighs","in","https://t.co/Rx6M2RYEJL","","@CNBC",NA,NA
"9","A","look","at","what","economists","think","about","a","#Fed","rate","hike","https://t.co/pFHeYTo9CU","via","@BoothCapIdeas",NA,NA,NA,NA,NA,NA
"10","Current","student","Sana","Suh","discusses","how","Booth","and","its","community","has","prepared","her","for","any","challenge","she","might","face.
https://t.co/p2mYBHHNgm",NA
"11","Professor","Steve","Kaplan","on","why","Silicon","Valley","will","never","guarantee","success","https://t.co/2EuFmfcFA2","via","@FortuneMagazine",NA,NA,NA,NA,NA,NA
"12","Baby","Boomers","VS","Millennials:","Why","internet","advertisers","should","target","the","over-65s","https://t.co/U4sYyisjxU","via","@BoothCapIdeas",NA,NA,NA,NA,NA,NA
"13","Don’t","forget","your","souvenir:","@PathsToPurpose","explores","how","material","possessions","influence","long","term","happiness","https://t.co/KJbTGl1g6w",NA,NA,NA,NA,NA,NA
"14","Find","out","how","Todd","Connor,","'07,","made","the","list","of","@CrainsChicago","40","Under","40","2015","https://t.co/ysdMrHlGOU",NA,NA,NA,NA
"15","Can","you","mend","a","broken","heart","with","a","sad","love","song?","https://t.co/zSzKWqNGVW","","via","@PathsToPurpose",NA,NA,NA,NA,NA
"16","A","look","at","how","George","Stigler","changed","the","analysis","of","regulation","https://t.co/OEG2nfSXKo","via","@BoothCapIdeas",NA,NA,NA,NA,NA,NA
"17","Patrick","Doyle,","’88,","shares","the","advantages","of","a","marketing","mindset","in","the","C-Suite","and","more","during","his","latest","visit","https://t.co/0YSzLWIarW"
"18","Trust","your","gut,","but","verify","it","in","the","data.","Bob","Mariano,","'87,","talks","about","his","life","as","a","merchant","https://t.co/2YYg0EVBmk"
"19","Study","by","professor","Nicholas","Epley","explores","why","you","don’t","understand","people","as","well","as","you","think","https://t.co/ocsgoEZHot","via","@ihubradio",NA
"20","How","prof","Mark","Tebbe's","Entrepreneurial","Discovery","course","helps","students","find","the","right","solutions","to","real-world","needs","https://t.co/oDywUpuFob",NA,NA,NA
"21","'My","village","was","small,","but","I","dreamt","big'","","Read","the","story","of","Vikash","Singh,","'16:","https://t.co/bvADObsjNz",NA,NA,NA
"22","Sorry,","but","your","favorite","company","can’t","be","your","friend","https://t.co/NurlDt4Ech","via","@UpshotNYT",NA,NA,NA,NA,NA,NA,NA,NA
"23","Professor","Abigail","Sussman","explores","the","hidden","reasons","people","spend","too","much","https://t.co/RbCfnjbVBR","","via","@WSJ",NA,NA,NA,NA,NA
"24","Chicago","Booth","PhD","candidate","Hyunsoo","Doh","proposes","a","simple","way","to","halt","financial","contagion","https://t.co/pK7Fs1dLur",NA,NA,NA,NA,NA
"25","Rate","hike...","good","or","bad","for","the","#economy?","Professor","and","#BoothEO16","presenter","@Austan_Goolsbee","weighs","in","https://t.co/Rx6M2Sgg8l","@CNBC",NA,NA,NA
"26","Baby","Boomers","VS","Millennials:","Why","internet","advertisers","should","target","the","over-65s","https://t.co/U4sYyiJUWu","via","@BoothCapIdeas",NA,NA,NA,NA,NA,NA
"27","Find","out","how","Todd","Connor,","'07,","made","the","list","of","@CrainsChicago","40","Under","40","2015","https://t.co/ysdMrHlGOU",NA,NA,NA,NA
"28","How","exposed","are","we","to","troubles","in","emerging","markets?","To","find","out,","join","us","for","#BoothEO16","https://t.co/uko574t0Ht","https://t.co/RYlnvYxuT2",NA,NA
"29","Study","by","Prof","Shah","uncovers","how","to","prevent","violent","crime","and","decrease","arrest","rates","among","#Chicago","inner","city","youth","https://t.co/j47Z7ASKuJ"
"30","Booth","once","again","led","fundraising","efforts","&amp;","captured","victory,","current","student","Ryan","Bormet,","on","MBA","Cup","championship","https://t.co/xZidszXMS8",NA,NA
"31","Don’t","forget","your","souvenir:","@PathsToPurpose","explores","how","material","possessions","influence","long","term","happiness","https://t.co/KJbTGl1g6w",NA,NA,NA,NA,NA,NA
"32","At","Booth,","there’s","always","the","question:","Does","the","data","exist","and","can","I","get","it?","Drew","Davis,","'14","on","data"
"33","Joel","Ayee,","MBA","'16,","applies","his","Booth","studies","to","address","Uganda's","urgent","healthcare","as","a","part","of","@FT","#MBA","Challenge"
