"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"34","Professor","@R_Thaler","on","the","power","of","good","and","bad","nudges","https://t.co/Xxi9sOrDim","","","via","@nytimes",NA,NA,NA,NA,NA
"35","Trust","your","gut,","but","verify","it","in","the","data.","Bob","Mariano,","'87,","talks","about","his","life","as","a","merchant","https://t.co/2YYg0EVBmk"
"36","Professors","Frankel","and","Kamenica","in","a","comic","on","the","#economics","of","suspense","and","surprise","https://t.co/uB7WQUFK6o","","","via","@BoothCapIdeas",NA
"37",".@GetBase,","co-founded","by","Uzi","Shmilovici,","'11,","receives","another","$30M","to","take","on","#Salesforce","https://t.co/ZaL2pRB6LK","","via","@FortuneMagazine",NA,NA,NA
"38","Booth","once","again","led","fundraising","efforts","&amp;","captured","victory,","current","student","Ryan","Bormet,","on","MBA","Cup","championship","https://t.co/xZidszXMS8",NA,NA
"39","Inaugural","visiting","artist","John","Michael","Schert,","teaches","how","ballet’s","grace","leads","to","new","thinking","at","Booth","","https://t.co/ULaDWiIQOg","via","@FT"
"40","Find","out","how","Todd","Connor,","'07,","made","the","list","of","@CrainsChicago","40","Under","40","2015","https://t.co/ysdMrHlGOU",NA,NA,NA,NA
"41","Fertility","is","linked","to","racism?","Not","so","fast","https://t.co/Rk2k6MJ58A","","","via","@BoothCapIdeas",NA,NA,NA,NA,NA,NA,NA
"42","Prof","Chintagunta","explains","Flipkart,","Snapdeal","and","Indian","e-commerce","as","viewed","through","the","lens","of","#Twitter","https://t.co/B0bfJDccUk","#BoothMKTG",NA,NA,NA
"43","#DidYouKnow","Pat","Basu,","'05,","was","named","@WhiteHouse","Fellow","in","2010","for","his","insights","and","contributions","in","healthcare?","https://t.co/aPZ5qGLt5P",NA,NA
"44","Blame","Costco,","not","Amazon,","for","the","death","of","your","local","Sears","https://t.co/H3sqKSMzAt","via","@BoothCapIdeas",NA,NA,NA,NA,NA,NA
"45","How","exposed","are","we","to","troubles","in","emerging","markets?","To","find","out,","join","us","for","#BoothEO16","https://t.co/ncZwbbDAvJ",NA,NA,NA
"46","Professor","@zingales","on","the","factors","holding","back","U.S.","growth","and","the","global","growth","of","populist","politics","https://t.co/2kJigmasMV","via","@business",NA
"47","Congrats","to","Rahier","Rahman,","'05,","for","making","@CrainsChicago's","40","Under","40.","Find","out","how","he","did","it.","https://t.co/3tSX02E5sw",NA,NA
"48","How","the","#ChicagoNVC","has","helped","turn","student","start-ups","into","thriving","companies","https://t.co/OXdVT6ng9s",NA,NA,NA,NA,NA,NA,NA,NA
"49","Professor","Abigail","Sussman","explores","the","hidden","reasons","people","spend","too","much","https://t.co/RbCfnjtwtp","via","@WSJ",NA,NA,NA,NA,NA,NA
"50","Impatience","&amp;","procrastination:","Prof","@zingales,","Ernesto","Reuben,","&amp;","Paola","Sapienza","find","a","connection","https://t.co/B3ZSoiNjMF","","via","@BoothCapIdeas",NA,NA,NA
"51","Professors","Frankel","and","Kamenica","in","a","comic","on","the","#economics","of","suspense","and","surprise","https://t.co/uB7WQUFK6o","","via","@BoothCapIdeas",NA,NA
"52","'My","village","was","small,","but","I","dreamt","big'","","Read","the","story","of","Vikash","Singh,","'16:","https://t.co/bvADObaIoZ",NA,NA,NA
"53","Trust","your","gut,","but","verify","it","in","the","data.","Bob","Mariano,","'87,","talks","about","his","life","as","a","merchant","https://t.co/2YYg0EVBmk"
"54","How","prof","Mark","Tebbe's","Entrepreneurial","Discovery","course","helps","students","find","the","right","solutions","to","real-world","needs","https://t.co/oDywUpd3ZB",NA,NA,NA
"55","At","Booth,","there’s","always","the","question:","Does","the","data","exist","and","can","I","get","it?","Drew","Davis,","'14","on","data"
"56","#ChicagoBooth","team","wins","the","Ross","School","of","Business","stock","pitch","competition","for","the","second","year","in","a","row","https://t.co/Bb8NICvRKm","via"
"57","Thinking","of","your","doctor","as","a","real","person","could","be","good","for","your","health","https://t.co/pwyCsEUDbx","","via","@BoothCapIdeas","","@jschroeder0527"
"58","A","look","at","how","Ryan","Wagner,","’12,","is","making","gains","for","entrepreneurs","in","developing","economies","https://t.co/oFy9X6qHyE",NA,NA,NA,NA
"59","Jim","Cahn,","'09,","gives","advice","on","choosing","the","portfolio","you","need","versus","being","sold","the","portfolio","you","want","https://t.co/InvbyMd1RC",""
"60","Without","some","fiscal","redistribution,","the","eurozone","is","headed","for","divorce,","according","to","prof","@zingales","https://t.co/tc16g7rG1j","","","@BoothCapIdeas",NA,NA
"61","Joel","Ayee,","MBA","'16,","applies","his","Booth","studies","to","address","Uganda's","urgent","healthcare","as","a","part","of","@FT","#MBA","Challenge"
"62",".@ProfSufi","takes","one","of","4","#ChicagoBooth","spots","on","@crainschicago","40","Under","40","2015","https://t.co/bcDzgO3kCW",NA,NA,NA,NA,NA,NA
"63","Professors","Frankel","and","Kamenica","in","a","comic","on","the","#economics","of","suspense","and","surprise","https://t.co/uB7WQUFK6o","","via","@BoothCapIdeas",NA,NA
"64",".@GetBase,","co-founded","by","Uzi","Shmilovici,","'11,","receives","another","$30M","to","take","on","#Salesforce","https://t.co/ZaL2pRjvUc","via","@FortuneMagazine",NA,NA,NA,NA
"65","Study","by","professor","Nicholas","Epley","explores","why","you","don’t","understand","people","as","well","as","you","think","https://t.co/ocsgoEZHot","","","via"
"66","Trust","your","gut,","but","verify","it","in","the","data.","Bob","Mariano,","'87,","talks","about","his","life","as","a","merchant","https://t.co/2YYg0EVBmk"
"67","Professor","@R_Thaler","on","the","power","of","good","and","bad","nudges","https://t.co/Xxi9sOrDim","","via","@nytimes",NA,NA,NA,NA,NA,NA
"68","From","fraud","to","predictable","results:","@asymmetricinfo,","’01,","explores","social","priming","and","why","we","fall","for","bogus","research","https://t.co/hGOyrZoTee",NA,NA
"69","#ChicagoNVC","finalist,","VirtualKey","says","automated","entry","is","the","key","to","renters","lodging","challenges","https://t.co/bqILWJyFB8","","","via","@CrainsChicago",NA,NA
"70",".@BoothCapIdeas","explores","how","the","'future","you'","can","help","you","be","wealthier,","healthier,","and","more","generous","in","the","present","https://t.co/YmcXEXxOjO",NA
"71",".@Grubhub","co-founder","and","CEO,","@m3aloney,","'10,","on","the","introduction","of","a","free","#AppleTV","app.","https://t.co/RxfBgNVoQZ","","","via","@ChicagoBlueSky",NA
"72","#ChicagoBooth","PhD","candidate","Hyunsoo","Doh","proposes","a","simple","way","to","halt","financial","contagion","https://t.co/pK7Fs1vmlZ",NA,NA,NA,NA,NA,NA
"73","How","is","it","that","people","can","believe","something","that","they","know","is","not","true?","Jane","Risen","and","@davenuss79","on","#superstition"
"74","Professor","Abigail","Sussman","explores","the","hidden","reasons","people","spend","too","much","https://t.co/RbCfnjtwtp","","via","@WSJ",NA,NA,NA,NA,NA
"75",".@ChapinCoffee","takes","on","social","impact","by","connecting","consumers","with","the","local","issues,","art,","and","culture","of","Guatemala","https://t.co/rTGzOh20h3",NA,NA
"76","Find","out","how","Todd","Connor,","'07,","made","the","list","of","@CrainsChicago","40","Under","40","2015","https://t.co/ysdMrHlGOU",NA,NA,NA,NA
"77","To","lose","weight,","have","fun","https://t.co/kHFiiHXG6g","","via","@BoothCapIdeas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","A","look","at","how","Ryan","Wagner,","’12,","is","making","gains","for","entrepreneurs","in","developing","economies","https://t.co/oFy9X6qHyE",NA,NA,NA,NA
"79","Study","by","professor","Nicholas","Epley","explores","why","you","don’t","understand","people","as","well","as","you","think","https://t.co/ocsgoEZHot","","via","@ihubradio"
"80","Don’t","forget","your","souvenir:","@PathsToPurpose","explores","how","material","possessions","influence","long","term","happiness","https://t.co/KJbTGl1g6w",NA,NA,NA,NA,NA,NA
"81",".@ProfSufi","takes","one","of","4","#ChicagoBooth","spots","on","@crainschicago","40","Under","40","2015","https://t.co/bcDzgO3kCW",NA,NA,NA,NA,NA,NA
"82","Impatience","&amp;","procrastination:","Prof","@zingales,","Ernesto","Reuben,","&amp;","Paola","Sapienza","find","a","connection","https://t.co/B3ZSoiNjMF","","via","@BoothCapIdeas",NA,NA,NA
"83","First","place","#SNVC","team,","@BallotReady,","among","@Inc's","7","startups","that","could","bring","election","day","into","the","21st","century","https://t.co/De3zVnECjt",NA
"84","Drew","Thomas,","'16,","shares","voices","of","the","#AFG","on","their","service","and","similarities","between","the","military","&amp;","#ChicagoBooth.","https://t.co/XxxCyxuUVG",NA
"85","Professor","@R_Thaler","on","the","key","to","#retirement","savings","and","avoiding","401(k)","mistakes","https://t.co/dVa7WAtY8e","","via","@WSJ",NA,NA,NA,NA
"86",".@BoothCapIdeas","explores","how","the","'future","you'","can","help","you","be","wealthier,","healthier,","and","more","generous","in","the","present","https://t.co/YmcXEXxOjO",NA
"87","Joel","Ayee,","MBA","'16,","applies","his","Booth","studies","to","address","Uganda's","urgent","healthcare","as","a","part","of","@FT","#MBA","Challenge"
"88","How","exposed","are","we","to","troubles","in","emerging","markets?","To","find","out,","join","us","for","#BoothEO16","https://t.co/EkAQBdfdb6",NA,NA,NA
"89","Trust","your","gut,","but","verify","it","in","the","data.","Bob","Mariano,","'87,","talks","about","his","life","as","a","merchant","https://t.co/2YYg0EVBmk"
"90","'My","village","was","small,","but","I","dreamt","big'","","Read","the","story","of","Vikash","Singh,","'16:","https://t.co/bvADObaIoZ",NA,NA,NA
"91","#ChicagoNVC","finalist,","VirtualKey","says","automated","entry","is","the","key","to","renters","lodging","challenges","https://t.co/bqILWJyFB8","","","via","@CrainsChicago",NA,NA
"92","Study","by","professor","Nicholas","Epley","explores","why","you","don’t","understand","people","as","well","as","you","think","https://t.co/ocsgoEZHot","","","via"
"93","Don’t","forget","your","souvenir:","@PathsToPurpose","explores","how","material","possessions","influence","long","term","happiness","https://t.co/KJbTGkJFeY",NA,NA,NA,NA,NA,NA
"94","Without","some","fiscal","redistribution,","the","eurozone","is","headed","for","divorce,","according","to","prof","@zingales","https://t.co/tc16g7JhpT","@BoothCapIdeas",NA,NA,NA,NA
"95","How","exposed","are","we","to","troubles","in","emerging","markets?","To","find","out,","join","us","for","#BoothEO16","https://t.co/kncUT4yhtT","https://t.co/DKDFFjC5SE",NA,NA
"96","Slow","Thinking","can","cut","violent","crime","by","30","to","50%.","On","#ChicagoBooth","Prof.","Anuj","Shah","explains","how.","https://t.co/8EiGA12kWc",NA,NA
"97","Professors","Frankel","and","Kamenica","in","a","comic","on","the","#economics","of","suspense","and","surprise","https://t.co/uB7WQUo8HO","via","@BoothCapIdeas",NA,NA,NA
"98","Trust","your","gut,","but","verify","it","in","the","data.","Bob","Mariano,","'87,","talks","about","his","life","as","a","merchant","https://t.co/2YYg0EVBmk"
"99",".@BoothEveWknd","Students","showed","off","their","Booth","pride","at","this","years","MBA","Cup","and","maintained","reining","champions","https://t.co/LZ9YnvoyoK",NA,NA,NA
"100","Study","by","professor","Nicholas","Epley","explores","why","you","don’t","understand","people","as","well","as","you","think","https://t.co/ocsgoEZHot","via","@ihubradio",NA
"101","Professor","@R_Thaler","on","the","key","to","#retirement","savings","and","avoiding","401(k)","mistakes","https://t.co/dVa7WAtY8e","","via","@wsj",NA,NA,NA,NA
"102","How","prof","Mark","Tebbe's","Entrepreneurial","Discovery","course","helps","students","find","the","right","solutions","to","real-world","needs","https://t.co/oDywUpd3ZB",NA,NA,NA
"103","A","look","at","how","Ryan","Wagner,","’12,","is","making","gains","for","entrepreneurs","in","developing","economies","https://t.co/oFy9X6qHyE",NA,NA,NA,NA
"104","Professor","James","Schrager","on","the","real-world","test","your","startup","needs","to","raise","money","https://t.co/P32tD4iNLs",NA,NA,NA,NA,NA,NA
"105","Slow","Thinking","can","cut","violent","crime","by","30","to","50%.","On","#ChicagoBooth","Prof.","Anuj","Shah","explains","how.","https://t.co/8EiGA1jVNK",NA,NA
"106","#ChicagoBooth","PhD","candidate","Hyunsoo","Doh","proposes","a","simple","way","to","halt","financial","contagion","https://t.co/pK7Fs1vmlZ",NA,NA,NA,NA,NA,NA
"107","To","lose","weight,","have","fun","https://t.co/kHFiiHXG6g","via","@BoothCapIdeas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Impatience","&amp;","procrastination:","Prof","@zingales,","Ernesto","Reuben,","&amp;","Paola","Sapienza","find","a","connection","https://t.co/B3ZSoiNjMF","via","@BoothCapIdeas",NA,NA,NA,NA
"109","Find","out","how","Todd","Connor,","'07,","made","the","list","of","@CrainsChicago","40","Under","40","2015","https://t.co/ysdMrHlGOU",NA,NA,NA,NA
"110","Professor","Sanjay","K.","Dhar","provides","students","with","a","tool","kit","for","dissecting","business","problems","https://t.co/aEAHdmMyU2","https://t.co/TSVFq7O4q1",NA,NA,NA,NA
"111",".@ChapinCoffee","takes","on","social","impact","by","connecting","consumers","with","the","local","issues,","art,","and","culture","of","Guatemala","https://t.co/rTGzOh20h3",NA,NA
"112","Blame","Costco,","not","Amazon,","for","the","death","of","your","local","Sears","https://t.co/H3sqKSMzAt","","","via","@BoothCapIdeas",NA,NA,NA,NA
"113","Professor","Abigail","Sussman","explores","the","hidden","reasons","people","spend","too","much","https://t.co/RbCfnjtwtp","","","via","@WSJ",NA,NA,NA,NA
"114","Prof","Chintagunta","explains","Flipkart,","Snapdeal","and","Indian","e-commerce","as","viewed","through","the","lens","of","#Twitter","https://t.co/B0bfJDccUk","#BoothMKTG",NA,NA,NA
"115","How","is","it","that","people","can","believe","something","that","they","know","is","not","true?","Jane","Risen","and","@davenuss79","on","#superstition"
"116","How","the","#ChicagoNVC","has","helped","turn","student","start-ups","into","thriving","companies","https://t.co/OXdVT6ng9s",NA,NA,NA,NA,NA,NA,NA,NA
"117","#ChicagoBooth","PhD","candidate","Hyunsoo","Doh","proposes","a","simple","way","to","halt","financial","contagion","https://t.co/pK7Fs1vmlZ",NA,NA,NA,NA,NA,NA
"118","At","Booth,","there’s","always","the","question:","Does","the","data","exist","and","can","I","get","it?","Drew","Davis,","'14","on","data"
"119",".@Grubhub","co-founder","and","CEO,","@m3aloney,","'10,","on","the","introduction","of","a","free","#AppleTV","app.","https://t.co/RxfBgNVoQZ","","via","@ChicagoBlueSky",NA,NA
"120","Professor","@zingales","on","the","factors","holding","back","U.S.","growth","and","the","global","growth","of","populist","politics","https://t.co/2kJigmasMV","via","@business",NA
"121",".@BoothCapIdeas","explores","how","the","'future","you'","can","help","you","be","wealthier,","healthier,","and","more","generous","in","the","present","https://t.co/YmcXEXxOjO",NA
"122","#ChicagoBooth","team","wins","the","Ross","School","of","Business","stock","pitch","competition","for","the","second","year","in","a","row","https://t.co/Bb8NICvRKm","via"
"123","#ChicagoNVC","finalist,","VirtualKey","says","automated","entry","is","the","key","to","renters","lodging","challenges","https://t.co/bqILWJyFB8","","via","@CrainsChicago",NA,NA,NA
"124","How","is","it","that","people","can","believe","something","that","they","know","is","not","true?","Jane","Risen","and","@davenuss79","on","#superstition"
"125","How","are","Chicago's","'Shark","Tank'","alumni","doing","now?","@chicagotribune","gives","an","update","on","Booth","startup","@LuminAIDLab","https://t.co/uY5Xt4K6zG",NA,NA,NA
"126","Alumni","share","insights","on","how","they","navigate","the","complex","business","of","funding","projects","in","multiple","energy","markets.","https://t.co/voPQ2e8e9m",NA,NA
"127","From","fraud","to","predictable","results:","@asymmetricinfo,","’01,","explores","social","priming","and","why","we","fall","for","bogus","research","https://t.co/hGOyrZoTee",NA,NA
"128",".@_PrettyQuick_","founder","on","how","the","#ChicagoNVC","changed","her","life
https://t.co/yEShIMOodT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Don’t","forget","your","souvenir:","@PathsToPurpose","explores","how","material","possessions","influence","long","term","happiness","https://t.co/KJbTGl1g6w",NA,NA,NA,NA,NA,NA
"130","Professor","@R_Thaler","on","the","power","of","good","and","bad","nudges","https://t.co/Xxi9sOrDim","via","@nytimes",NA,NA,NA,NA,NA,NA,NA
"131","We","all","make","mistakes.","The","question","is","what","you","learn","from","them?","We","too","often","overestimate","the","downsides","Professor","Harry"
"132","We've","done","studies","analysing","how","gamification","can","help","us","understand","civic","society","issues","and","soft","skills,","Patrick","Jagoda","#BoothGLS",NA
"133","Growing","literature","in","business","and","psychology","suggests","that","gamification","can","influence","behaviours,","Patrick","Jagoda","#BoothGLS",NA,NA,NA,NA,NA
"134","Games","are","one","of","the","few","cultural","forms","where","it","is","ok","to","fail,","and","fail","big","in","order","to"
"135","Many","leaders","believe","success","is","a","path","without","failures","but","I","think","making","smart","mistakes","is","absolutely","critical","for","leaders"
"136","We","at","#ChicagoBooth","are","bringing","data","to","understanding","and","strengthening","soft","skills","for","leaders,","Professor","Harry","L.","Davis","#BoothGLS",NA
"137","Professor","Harry","L.","Davis","weighs","in","on","#leadership","during","#BoothGLS","https://t.co/LwxLqF8j6k",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","It","is","key","to","pay","attention,","try","things,","reflect","and","understand","the","insight","as","leaders,","Professor","Harry","L","Davis","#BoothGLS"
"139","Our","experiences","as","leaders","should","be","active","and","disciplined,","Professor","Harry","L","Davis","#BoothGLS",NA,NA,NA,NA,NA,NA
"140","Those","who","write","about","leadership","don't","focus","enough","on","context.","Work","needs","to","be","done","to","ensure","people","observe","more"
"141","Leadership","comes","to","life","in","interpersonal","contexts.","It","requires","domain","and","conceptual","knowledge,","Professor","Harry","L","Davis","#BoothGLS",NA,NA
"142","Can","you","tell","when","someone","is","lying","to","you?","https://t.co/STv4WKF7og","","via","@BoothCapIdeas",NA,NA,NA,NA,NA,NA,NA
"143","Study","by","professor","Nicholas","Epley","explores","why","you","don’t","understand","people","as","well","as","you","think","https://t.co/ocsgoEZHot","","via","@ihubradio"
"144","Trust","your","gut,","but","verify","it","in","the","data.","Bob","Mariano,","'87,","talks","about","his","life","as","a","merchant","https://t.co/2YYg0EVBmk"
"145","Professors","Frankel","and","Kamenica","in","a","comic","on","the","#economics","of","suspense","and","surprise","https://t.co/uB7WQUo8HO","via","@BoothCapIdeas",NA,NA,NA
"146",".@GetBase,","co-founded","by","Uzi","Shmilovici,","'11,","receives","another","$30M","to","take","on","#Salesforce","https://t.co/ZaL2pRB6LK","","","via","@FortuneMagazine",NA,NA
"147",".@ProfSufi","takes","one","of","4","#ChicagoBooth","spots","on","@crainschicago","40","Under","40","2015","https://t.co/bcDzgO3kCW",NA,NA,NA,NA,NA,NA
"148","Slow","Thinking","can","cut","violent","crime","by","30","to","50%.","On","#ChicagoBooth","Prof.","Anuj","Shah","explains","how.","https://t.co/8EiGA1jVNK",NA,NA
"149","Impatience","&amp;","procrastination:","Prof","@zingales,","Ernesto","Reuben,","&amp;","Paola","Sapienza","find","a","connection","https://t.co/B3ZSoiNjMF","","via","@BoothCapIdeas",NA,NA,NA
"150","#ChicagoBooth","PhD","candidate","Hyunsoo","Doh","proposes","a","simple","way","to","halt","financial","contagion","https://t.co/pK7Fs1vmlZ",NA,NA,NA,NA,NA,NA
"151","Professor","James","Schrager","on","the","real-world","test","your","startup","needs","to","raise","money","https://t.co/P32tD4iNLs",NA,NA,NA,NA,NA,NA
"152","Joel","Ayee,","MBA","'16,","applies","his","Booth","studies","to","address","Uganda's","urgent","healthcare","as","a","part","of","@FT","#MBA","Challenge"
"153","Professor","@R_Thaler","on","the","key","to","#retirement","savings","and","avoiding","401(k)","mistakes","https://t.co/dVa7WAtY8e","via","@wsj",NA,NA,NA,NA,NA
"154","Without","some","fiscal","redistribution,","the","eurozone","is","headed","for","divorce,","according","to","prof","@zingales","https://t.co/tc16g7rG1j","","@BoothCapIdeas",NA,NA,NA
"155","#BoothWomenConnect","unites","women","within","the","Chicago","Booth","network","to","hear","from","leaders","in","business","and","research.
https://t.co/Bn3SmV86jl",NA,NA,NA,NA
"156","Jim","Cahn,","'09,","gives","advice","on","choosing","the","portfolio","you","need","versus","being","sold","the","portfolio","you","want","https://t.co/InvbyMd1RC","via"
"157","Anatomy","of","a","scandal","–","How","the","Volkswagen","episode","unfolded","on","#Twitter","","https://t.co/B0aAObpLFb","","#BoothMKTG",NA,NA,NA,NA
"158","#ChicagoBooth","team","wins","the","Ross","School","of","Business","stock","pitch","competition","for","the","second","year","in","a","row","https://t.co/Bb8NICvRKm","via"
"159","A","look","at","how","Ryan","Wagner,","’12,","is","making","gains","for","entrepreneurs","in","developing","economies","https://t.co/oFy9X6qHyE",NA,NA,NA,NA
"160","Thinking","of","your","doctor","as","a","real","person","could","be","good","for","your","health","https://t.co/pwyCsEUDbx","via","@BoothCapIdeas","","@jschroeder0527",NA
"161","At","Booth,","there’s","always","the","question:","Does","the","data","exist","and","can","I","get","it?","Drew","Davis,","'14","on","data"
"162","#ChicagoNVC","finalist,","VirtualKey","says","automated","entry","is","the","key","to","renters","lodging","challenges","https://t.co/bqILWJyFB8","","via","@CrainsChicago",NA,NA,NA
"163","How","prof","Mark","Tebbe's","Entrepreneurial","Discovery","course","helps","students","find","the","right","solutions","to","real-world","needs","https://t.co/oDywUpd3ZB",NA,NA,NA
"164","'My","village","was","small,","but","I","dreamt","big'","","Read","the","story","of","Vikash","Singh,","'16:","https://t.co/bvADObaIoZ",NA,NA,NA
"165","Study","by","professor","Nicholas","Epley","explores","why","you","don’t","understand","people","as","well","as","you","think","https://t.co/ocsgoEZHot","","via","@ihubradio"
"166","How","is","it","that","people","can","believe","something","that","they","know","is","not","true?","Jane","Risen","and","@davenuss79","on","#superstition"
"167","Trust","your","gut,","but","verify","it","in","the","data.","Bob","Mariano,","'87,","talks","about","his","life","as","a","merchant","https://t.co/2YYg0EVBmk"
"168","Professor","James","Schrager","on","the","real-world","test","your","startup","needs","to","raise","money","https://t.co/P32tD4Apa2",NA,NA,NA,NA,NA,NA
"169","Professors","Frankel","and","Kamenica","in","a","comic","on","the","#economics","of","suspense","and","surprise","https://t.co/uB7WQUo8HO","via","@BoothCapIdeas",NA,NA,NA
"170","Don’t","forget","your","souvenir:","@PathsToPurpose","explores","how","material","possessions","influence","long","term","happiness","https://t.co/KJbTGl1g6w",NA,NA,NA,NA,NA,NA
"171","Without","some","fiscal","redistribution,","the","eurozone","is","headed","for","divorce,","according","to","prof","@zingales","https://t.co/tc16g7rG1j","@BoothCapIdeas",NA,NA,NA,NA
